timestamp,temp_C,humidity_pct,wind_kmh,rain_mm,temp_lag1h,temp_lag24h,temp_rm24h,rain_sum24h
2023-01-02 00:00:00,19.6,74.0,19.0,0.0,20.4,17.6,18.772916666666667,0.0
2023-01-02 01:00:00,18.6,78.0,18.8,0.0,19.6,17.1,18.835416666666667,0.0
2023-01-02 02:00:00,17.8,81.0,18.0,0.0,18.6,17.1,18.864583333333332,0.0
2023-01-02 03:00:00,17.0,83.0,16.0,0.0,17.8,17.1,18.860416666666666,0.0
2023-01-02 04:00:00,16.4,84.0,15.4,0.0,17.0,16.6,18.852083333333333,0.0
2023-01-02 05:00:00,15.7,85.0,15.7,0.0,16.4,16.5,18.81875,0.0
2023-01-02 06:00:00,15.1,87.0,15.6,0.0,15.7,15.9,18.785416666666666,0.0
2023-01-02 07:00:00,15.1,86.0,14.5,0.0,15.1,15.350000000000001,18.775000000000002,0.0
2023-01-02 08:00:00,15.2,86.0,13.0,0.0,15.1,14.8,18.791666666666668,0.0
2023-01-02 09:00:00,15.4,85.0,11.5,0.0,15.2,14.4,18.833333333333332,0.0
2023-01-02 10:00:00,14.3,91.0,9.5,0.0,15.4,15.0,18.804166666666667,0.0
2023-01-02 11:00:00,16.3,84.0,11.3,0.0,14.3,16.9,18.779166666666665,0.0
2023-01-02 12:00:00,17.8,78.0,12.2,0.0,16.3,18.6,18.745833333333334,0.0
2023-01-02 13:00:00,18.7,75.0,13.7,0.0,17.8,19.9,18.695833333333333,0.0
2023-01-02 14:00:00,19.3,73.0,15.5,0.0,18.7,20.9,18.629166666666666,0.0
2023-01-02 15:00:00,20.1,71.0,17.4,0.0,19.3,21.6,18.566666666666666,0.0
2023-01-02 16:00:00,20.4,71.0,19.1,0.0,20.1,22.0,18.5,0.0
2023-01-02 17:00:00,20.7,70.0,19.6,0.0,20.4,22.4,18.429166666666667,0.0
2023-01-02 18:00:00,21.1,68.0,19.9,0.0,20.7,22.4,18.375,0.0
2023-01-02 19:00:00,20.9,69.0,21.1,0.0,21.1,21.7,18.341666666666665,0.0
2023-01-02 20:00:00,20.5,70.0,22.2,0.0,20.9,21.6,18.295833333333334,0.0
2023-01-02 21:00:00,20.1,70.0,21.3,0.0,20.5,21.6,18.233333333333334,0.0
2023-01-02 22:00:00,19.2,72.0,18.8,0.0,20.1,21.1,18.154166666666665,0.0
2023-01-02 23:00:00,18.4,74.0,17.7,0.0,19.2,20.4,18.070833333333333,0.0
2023-01-03 00:00:00,17.4,76.5,17.7,0.0,18.4,19.6,17.979166666666668,0.0
2023-01-03 01:00:00,16.9,79.0,17.1,0.0,17.4,18.6,17.908333333333335,0.0
2023-01-03 02:00:00,16.7,80.0,15.5,0.0,16.9,17.8,17.8625,0.0
2023-01-03 03:00:00,16.05,82.0,13.8,0.0,16.7,17.0,17.822916666666668,0.0
2023-01-03 04:00:00,15.4,84.0,12.8,0.0,16.05,16.4,17.78125,0.0
2023-01-03 05:00:00,15.4,83.0,11.4,0.0,15.4,15.7,17.76875,0.0
