timestamp,temp_C,humidity_pct,wind_kmh,rain_mm
2023-01-01 00:00:00,17.6,82,5.8,0.0
2023-01-01 01:00:00,17.1,85,3.3,0.0
2023-01-01 02:00:00,17.2,83,5.0,0.0
2023-01-01 03:00:00,17.1,83,4.6,0.0
2023-01-01 04:00:00,16.6,85,4.3,0.0
2023-01-01 05:00:00,16.5,87,4.3,0.0
2023-01-01 06:00:00,15.9,90,4.7,0.0
2023-01-01 07:00:00,15.4,92,7.3,0.0
2023-01-01 08:00:00,14.8,95,9.0,0.0
2023-01-01 09:00:00,14.4,98,8.5,0.0
2023-01-01 10:00:00,15.0,95,7.8,0.0
2023-01-01 11:00:00,16.9,89,7.4,0.0
2023-01-01 12:00:00,18.6,82,7.2,0.0
2023-01-01 13:00:00,19.9,76,10.9,0.0
2023-01-01 14:00:00,20.9,73,15.3,0.0
2023-01-01 15:00:00,21.6,71,19.4,0.0
2023-01-01 16:00:00,22.0,69,21.9,0.0
2023-01-01 17:00:00,22.4,67,23.7,0.0
2023-01-01 18:00:00,22.4,67,25.9,0.0
2023-01-01 19:00:00,21.7,69,26.3,0.0
2023-01-01 20:00:00,21.6,70,24.8,0.0
2023-01-01 21:00:00,21.6,69,22.7,0.0
2023-01-01 22:00:00,21.1,71,20.9,0.0
2023-01-01 23:00:00,20.4,72,20.1,0.0
2023-01-02 00:00:00,19.6,74,19.0,0.0
2023-01-02 01:00:00,18.6,78,18.8,0.0
2023-01-02 02:00:00,17.8,81,18.0,0.0
2023-01-02 03:00:00,17.0,83,16.0,0.0
2023-01-02 04:00:00,16.4,84,15.4,0.0
2023-01-02 05:00:00,15.7,85,15.7,0.0
2023-01-02 06:00:00,15.1,87,15.6,0.0
2023-01-02 07:00:00,15.1,86,14.5,0.0
2023-01-02 08:00:00,15.2,86,13.0,0.0
2023-01-02 09:00:00,15.4,85,11.5,0.0
2023-01-02 10:00:00,14.3,91,9.5,0.0
2023-01-02 11:00:00,16.3,84,11.3,0.0
2023-01-02 12:00:00,17.8,78,12.2,0.0
2023-01-02 13:00:00,18.7,75,13.7,0.0
2023-01-02 14:00:00,19.3,73,15.5,0.0
2023-01-02 15:00:00,20.1,71,17.4,0.0
2023-01-02 16:00:00,20.4,71,19.1,0.0
2023-01-02 17:00:00,20.7,70,19.6,0.0
2023-01-02 18:00:00,21.1,68,19.9,0.0
2023-01-02 19:00:00,20.9,69,21.1,0.0
2023-01-02 20:00:00,20.5,70,22.2,0.0
2023-01-02 21:00:00,20.1,70,21.3,0.0
2023-01-02 22:00:00,19.2,72,18.8,0.0
2023-01-02 23:00:00,18.4,74,17.7,0.0
2023-01-03 00:00:00,17.4,77,17.7,0.0
2023-01-03 01:00:00,16.9,79,17.1,0.0
2023-01-03 02:00:00,16.7,80,15.5,0.0
2023-01-03 03:00:00,16.1,81,13.8,0.0
2023-01-03 04:00:00,15.4,84,12.8,0.0
2023-01-03 05:00:00,15.4,83,11.4,0.0
2023-01-03 06:00:00,15.2,84,10.4,0.0
2023-01-03 07:00:00,14.4,87,9.8,0.0
2023-01-03 08:00:00,13.9,91,8.6,0.0
2023-01-03 09:00:00,13.8,91,8.0,0.0
2023-01-03 10:00:00,14.1,90,5.8,0.0
2023-01-03 11:00:00,16.1,82,5.9,0.0
2023-01-03 12:00:00,18.2,72,8.7,0.0
2023-01-03 13:00:00,19.5,68,10.6,0.0
2023-01-03 14:00:00,20.4,64,14.0,0.0
2023-01-03 15:00:00,21.2,61,17.6,0.0
2023-01-03 16:00:00,21.8,59,20.6,0.0
2023-01-03 17:00:00,22.8,57,22.7,0.0
2023-01-03 18:00:00,23.0,56,24.2,0.0
2023-01-03 19:00:00,23.1,57,24.3,0.0
2023-01-03 20:00:00,22.9,57,23.4,0.0
2023-01-03 21:00:00,22.0,59,22.0,0.0
2023-01-03 22:00:00,21.5,62,19.9,0.0
2023-01-03 23:00:00,20.6,65,18.2,0.0
2023-01-04 00:00:00,19.8,70,14.0,0.0
2023-01-04 01:00:00,18.4,77,13.6,0.0
2023-01-04 02:00:00,17.6,79,11.9,0.0
2023-01-04 03:00:00,16.6,82,7.9,0.0
2023-01-04 04:00:00,15.9,85,5.4,0.0
2023-01-04 05:00:00,15.3,86,3.6,0.0
